"","V1","V2","V3","V4","V5","V6","V7"
"1",8.8476836420357e-07,7.10071399828544e-09,3.35729325991328e-12,0.0355971324584887,1,0.00397761808170226,1
"2",4.34224889480339e-07,2.42841198080274e-07,1.2394669755727e-12,0.00779923547731275,1,0.00164334910249154,0.723285801433178
"3",6.53311286304612e-09,3.20888780982148e-07,1.2131812800605e-12,0.00737016808383213,1,0.00351164467596988,0.14234750518563
"4",1.25703183277981e-08,4.66690399160971e-09,1.81837867425052e-12,8.08436051207085e-05,1,0.000352433360639554,0.0170357457730707
"5",5.3523849561042e-09,1.46254024109588e-07,1.5203631539438e-09,1.53880773935318e-05,1,1.00610296486207e-05,0.00307625925894768
"6",1.85892231817859e-11,1.73190007810461e-07,7.48875152782804e-09,5.81492819369868e-05,1,7.50654548073886e-05,0.000293401112065903
"7",8.80377117573938e-11,5.86395578638271e-11,4.59119280031527e-09,1.68307045845972e-07,1,6.30103678394899e-06,2.08324135140707e-05
"8",1.52414765047087e-10,1.82352017598875e-06,5.23699786741693e-08,1.42540232411474e-09,0.11370366470839,4.80991617177958e-09,1.16582880783152e-06
"9",2.57802075779509e-12,2.31713215295184e-08,2.32048904526439e-09,5.3359607732031e-11,0.0959401117064781,8.56388335145858e-10,3.75166589484649e-08
"10",3.35885507575179e-15,3.29757375543108e-09,2.52056707564256e-09,2.17674681105384e-11,0.574663608958553,1.67378311987984e-09,1.47853395694546e-09
"11",4.54789295258112e-15,1.35603627562848e-10,3.17868305344613e-07,2.78346834850128e-14,0.089648744434055,7.49112933058466e-11,2.40845346813895e-11
"12",1.36917262669174e-18,1.0200209843101e-10,2.50778696938522e-06,4.37640937314827e-19,5.56733198665615e-05,3.7920732528044e-16,7.28730653878673e-13
"13",1.93847021066813e-17,2.5431658220565e-07,2.18368734749231e-05,2.38808227671873e-15,0.0248242504393203,5.00096723529264e-12,2.69800583041784e-14
"14",1.04373926741383e-16,5.04845954828799e-11,5.14746736787211e-06,1.42465271235008e-20,0.00498821257624055,6.83739789671083e-14,3.26077384405438e-16
"15",4.32968910891578e-17,8.46805102404565e-07,0.000137065764421202,5.30317041882181e-24,5.45850906449504e-06,2.03138646068651e-19,3.97447525972736e-18
"16",4.99194138531031e-20,3.46962209905046e-10,0.00360062588846154,1.89559217413339e-22,4.98159126943817e-06,2.15540231269702e-17,8.44861665541058e-20
